ILMN_1695317 RCBTB1
ILMN_1788143 LINS
ILMN_1814726 SCARB2
ILMN_1703092 RECQL4
ILMN_1745076 CLINT1
ILMN_1681031 PURA
ILMN_1652631 GLIPR2
ILMN_1749809 ZNF813
ILMN_1736080 SETDB1
ILMN_1773200 CCP110
ILMN_1688178 RRP7A
ILMN_1656521 RRP7A
ILMN_1755883 RPS27A
ILMN_1743646 VASP
ILMN_1698510 RPA2
ILMN_1709809 NHP2L1
ILMN_1763460 NHP2L1
ILMN_1759436 NOSIP
ILMN_1656372 PES1
ILMN_1662316 VPS33A
ILMN_1686989 INSIG1
ILMN_1700028 C9orf156
ILMN_1659801 ATP6V1C1
ILMN_1809566 ZSCAN16
ILMN_1703142 MARCH2
ILMN_1765858 CAB39
ILMN_1680386 RPP38
ILMN_1687864 POP5
ILMN_1733875 RUNDC1
ILMN_1690282 CRADD
ILMN_1870658 NA
ILMN_1746235 RAB44
ILMN_1721046 PTMS
ILMN_1750088 VRK2
ILMN_1669940 TMEM38B
ILMN_1731599 MRPL33
ILMN_1706326 MRPL33
ILMN_1683658 FKBP1A
ILMN_1716563 PRKCB
ILMN_1713603 PRKCB
ILMN_1748271 ATF2
ILMN_1798284 MFSD2A
